iter	Passed	Remaining
590	2547	1763
591	2553	1759
592	2558	1755
593	2563	1752
594	2569	1748
595	2574	1745
596	2579	1741
597	2584	1737
598	2590	1733
599	2595	1730
600	2600	1726
601	2605	1722
602	2610	1718
603	2616	1715
604	2621	1711
605	2626	1707
606	2631	1704
607	2638	1700
608	2643	1697
609	2649	1693
610	2654	1690
611	2659	1686
612	2665	1682
613	2670	1678
614	2676	1675
615	2681	1671
616	2687	1668
617	2695	1665
618	2700	1662
619	2704	1657
620	2708	1652
621	2711	1647
622	2714	1642
623	2716	1636
624	2720	1632
625	2722	1626
626	2727	1622
627	2731	1618
628	2736	1614
629	2740	1609
630	2745	1605
631	2750	1601
632	2754	1597
633	2758	1592
634	2763	1588
635	2768	1584
636	2773	1580
637	2778	1576
638	2784	1572
639	2789	1568
640	2794	1565
641	2799	1561
642	2804	1556
643	2809	1553
644	2814	1549
645	2818	1544
646	2822	1539
647	2828	1536
648	2833	1532
649	2837	1528
650	2843	1524
651	2848	1520
652	2854	1516
653	2859	1512
654	2864	1508
655	2869	1504
656	2874	1500
657	2879	1496
658	2885	1492
659	2888	1488
660	2893	1484
661	2899	1480
662	2904	1476
663	2909	1472
664	2914	1468
665	2918	1463
666	2922	1458
667	2926	1454
668	2929	1449
669	2932	1444
670	2936	1439
671	2940	1435
672	2943	1430
673	2945	1424
674	2948	1419
675	2951	1414
676	2954	1409
677	2957	1404
678	2959	1399
679	2962	1394
680	2965	1389
681	2968	1384
682	2971	1379
683	2974	1374
684	2977	1369
685	2980	1364
686	2983	1359
687	2985	1354
688	2989	1349
689	2995	1345
690	2998	1340
691	3000	1335
692	3006	1331
693	3009	1327
694	3012	1321
695	3014	1316
696	3018	1312
697	3021	1307
698	3023	1302
699	3026	1296
700	3028	1291
701	3031	1286
702	3033	1281
703	3036	1276
704	3039	1271
705	3041	1266
706	3044	1261
707	3048	1257
708	3053	1253
709	3055	1248
710	3058	1243
711	3062	1238
712	3067	1234
713	3072	1230
714	3078	1226
715	3083	1223
716	3087	1218
717	3091	1214
718	3094	1209
719	3097	1204
720	3100	1199
721	3103	1194
722	3107	1190
723	3112	1186
724	3117	1182
725	3122	1178
726	3125	1173
727	3129	1169
728	3132	1164
729	3137	1160
730	3142	1156
731	3146	1151
732	3149	1147
733	3154	1143
734	3158	1138
735	3161	1133
736	3164	1129
737	3169	1125
738	3174	1121
739	3178	1116
740	3182	1112
741	3186	1107
742	3189	1103
743	3193	1098
744	3198	1094
745	3203	1090
746	3208	1086
747	3212	1082
748	3217	1078
749	3222	1074
750	3225	1069
751	3229	1065
752	3234	1061
753	3239	1056
754	3243	1052
755	3247	1048
756	3252	1043
757	3254	1039
758	3259	1034
759	3263	1030
760	3267	1026
761	3271	1021
762	3276	1017
763	3281	1013
764	3286	1009
765	3291	1005
766	3296	1001
767	3300	997
768	3305	992
769	3310	988
770	3314	984
771	3317	979
772	3322	975
773	3327	971
774	3331	967
775	3335	962
776	3338	958
777	3343	954
778	3346	949
779	3350	945
780	3354	940
781	3360	936
782	3364	932
783	3368	928
784	3373	924
785	3378	919
786	3383	915
787	3388	911
788	3394	907
789	3399	903
790	3404	899
791	3408	895
792	3414	891
793	3418	886
794	3422	882
795	3427	878
796	3433	874
797	3438	870
798	3443	866
799	3447	861
800	3453	857
801	3456	853
802	3461	849
803	3465	844
804	3471	840
805	3476	836
806	3481	832
807	3486	828
808	3492	824
809	3497	820
810	3502	816
811	3507	812
812	3512	807
813	3517	803
814	3521	799
815	3526	795
816	3531	791
817	3537	786
818	3542	782
819	3547	778
820	3552	774
821	3557	770
822	3562	766
823	3568	762
824	3573	757
825	3577	753
826	3583	749
827	3588	745
828	3592	741
829	3596	736
830	3602	732
831	3607	728
832	3612	724
833	3617	720
834	3620	715
835	3624	711
836	3630	706
837	3635	702
838	3641	698
839	3645	694
840	3650	690
841	3653	685
842	3656	681
843	3662	676
844	3667	672
845	3671	668
846	3676	664
847	3682	660
848	3687	655
849	3692	651
850	3697	647
851	3702	643
852	3707	638
853	3712	634
854	3717	630
855	3722	626
856	3727	622
857	3732	617
858	3737	613
859	3742	609
860	3746	604
861	3750	600
862	3756	596
863	3761	592
864	3764	587
865	3769	583
866	3774	579
867	3778	574
868	3781	570
869	3786	565
870	3791	561
871	3797	557
872	3802	553
873	3807	548
874	3812	544
875	3817	540
876	3822	536
877	3828	531
878	3833	527
879	3839	523
880	3843	519
881	3848	514
882	3853	510
883	3857	506
884	3862	501
885	3867	497
886	3871	493
887	3874	488
888	3877	484
889	3882	479
890	3887	475
891	3891	471
892	3896	466
893	3900	462
894	3904	458
895	3907	453
896	3912	449
897	3917	444
898	3922	440
899	3926	436
900	3931	432
901	3936	427
902	3942	423
903	3947	419
904	3952	414
905	3957	410
906	3963	406
907	3967	401
908	3971	397
909	3975	393
910	3979	388
911	3982	384
912	3986	379
913	3991	375
914	3995	371
915	3999	366
916	4004	362
917	4008	358
918	4012	353
919	4016	349
920	4019	344
921	4024	340
922	4029	336
923	4033	331
924	4038	327
925	4042	323
926	4046	318
927	4051	314
928	4056	310
929	4060	305
930	4064	301
931	4068	296
932	4073	292
933	4076	288
934	4080	283
935	4085	279
936	4090	275
937	4093	270
938	4098	266
939	4103	261
940	4106	257
941	4110	253
942	4113	248
943	4119	244
944	4123	240
945	4128	235
946	4133	231
947	4137	226
948	4143	222
949	4148	218
950	4152	213
951	4157	209
952	4162	205
953	4167	200
954	4172	196
955	4177	192
956	4182	187
957	4187	183
958	4192	179
959	4197	174
960	4201	170
961	4206	166
962	4211	161
963	4216	157
964	4220	153
965	4226	148
966	4231	144
967	4236	140
968	4242	135
969	4247	131
970	4252	127
971	4257	122
972	4262	118
973	4266	113
974	4272	109
975	4277	105
976	4282	100
977	4288	96
978	4293	92
979	4299	87
980	4304	83
981	4310	79
982	4315	74
983	4320	70
984	4325	65
985	4330	61
986	4335	57
987	4339	52
988	4344	48
989	4349	43
990	4354	39
991	4360	35
992	4365	30
993	4369	26
994	4374	21
995	4380	17
996	4385	13
997	4390	8
998	4395	4
999	4401	0
